LSOA_code,LSOA_name,LAD_code,LAD_name,ITL1_code,Transaction,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Primary_resources_total,10.811,11.831,12.754,14.019,14.318,14.843,15.452,14.694,15.370,15.666,16.709,17.691,18.423,21.533,23.539,23.979,23.832,24.522,25.713,28.121
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,"Property_income,_paid",0.716,0.797,1.027,1.282,1.459,1.411,1.744,0.708,0.466,0.463,0.518,0.508,0.523,0.599,0.645,0.565,0.797,0.693,0.443,0.556
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Primary_uses_total,0.716,0.797,1.027,1.282,1.459,1.411,1.744,0.708,0.466,0.463,0.518,0.508,0.523,0.599,0.645,0.565,0.797,0.693,0.443,0.556
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Balance_of_primary_incomes,10.095,11.033,11.727,12.737,12.859,13.432,13.708,13.987,14.905,15.203,16.192,17.183,17.900,20.934,22.894,23.414,23.035,23.829,25.270,27.565
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,2.873,3.246,3.532,3.761,3.780,3.927,4.405,4.803,5.308,6.293,6.805,6.721,8.220,7.832,8.975,9.835,9.123,10.310,8.498,5.078
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,"Other_current_transfers,_received",0.427,0.481,0.522,0.573,0.385,0.602,0.606,0.519,0.491,0.676,0.879,0.798,0.886,0.980,0.968,1.006,1.028,1.154,1.161,0.984
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Secondary_resources_total,3.301,3.727,4.053,4.334,4.165,4.529,5.011,5.322,5.799,6.968,7.684,7.519,9.107,8.812,9.942,10.841,10.151,11.464,9.659,6.062
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,"Current_taxes_on_income,_wealth_etc",1.379,1.559,1.628,1.749,1.787,1.928,2.189,2.173,2.343,2.367,2.374,2.439,2.318,2.835,3.173,3.221,3.042,2.967,2.998,3.859
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Social_contributions/Social_benefits_paid,1.752,1.767,2.049,2.294,2.245,2.365,2.421,2.135,2.423,2.564,2.401,2.628,1.339,2.729,2.378,2.444,2.195,2.143,2.178,2.520
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,"Other_current_transfers,_paid",0.618,0.729,0.821,0.903,0.706,0.902,0.959,0.948,1.021,1.115,1.230,1.244,1.351,1.537,1.591,1.632,1.490,1.685,1.754,1.679
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Secondary_uses_total,3.749,4.054,4.498,4.945,4.739,5.196,5.569,5.256,5.787,6.046,6.005,6.310,5.008,7.101,7.143,7.297,6.727,6.795,6.930,8.058
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Balance_of_secondary_income,-0.448,-0.327,-0.444,-0.611,-0.573,-0.667,-0.559,0.066,0.012,0.922,1.680,1.209,4.099,1.711,2.800,3.544,3.424,4.669,2.729,-1.995
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,9.647,10.706,11.283,12.126,12.285,12.765,13.150,14.052,14.916,16.125,17.872,18.392,21.999,22.645,25.694,26.958,26.459,28.498,28.000,25.569
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Operating_surplus,1.773,1.842,1.743,1.924,2.030,1.834,1.881,1.694,1.470,1.459,1.615,1.542,1.751,1.809,1.965,2.001,2.179,2.217,2.351,2.479
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Mixed_income,0.629,0.644,0.671,0.716,0.753,0.783,0.813,0.871,0.951,0.981,1.233,1.174,1.295,1.389,1.469,1.641,1.902,2.121,2.269,2.364
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Compensation_of_employees,6.236,6.507,7.138,7.544,7.673,8.304,8.632,8.581,8.702,8.514,8.775,9.974,10.053,10.834,10.992,12.087,12.668,13.404,12.660,12.351
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,"Property_income,_received",1.168,1.054,1.224,1.370,1.309,1.562,1.493,1.227,1.259,1.252,1.192,1.317,1.373,1.696,1.422,1.569,1.748,1.770,1.437,1.666
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Primary_resources_total,9.806,10.046,10.776,11.555,11.765,12.484,12.819,12.373,12.381,12.205,12.815,14.008,14.472,15.728,15.848,17.298,18.497,19.512,18.717,18.860
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,"Property_income,_paid",0.703,0.736,0.974,1.219,1.367,1.316,1.552,0.678,0.431,0.416,0.449,0.455,0.469,0.485,0.554,0.468,0.669,0.492,0.309,0.377
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Primary_uses_total,0.703,0.736,0.974,1.219,1.367,1.316,1.552,0.678,0.431,0.416,0.449,0.455,0.469,0.485,0.554,0.468,0.669,0.492,0.309,0.377
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Balance_of_primary_incomes,9.102,9.310,9.802,10.336,10.399,11.168,11.267,11.695,11.950,11.790,12.366,13.553,14.002,15.243,15.294,16.829,17.828,19.019,18.407,18.483
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,2.114,2.242,2.501,2.631,2.631,2.764,2.898,3.331,3.543,4.155,4.180,4.389,4.866,5.098,5.452,4.589,4.980,5.400,5.004,2.499
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,"Other_current_transfers,_received",0.420,0.444,0.495,0.545,0.361,0.561,0.539,0.497,0.454,0.607,0.763,0.714,0.796,0.794,0.831,0.833,0.863,0.820,0.811,0.667
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Secondary_resources_total,2.533,2.686,2.996,3.176,2.992,3.325,3.437,3.828,3.997,4.761,4.943,5.103,5.662,5.892,6.283,5.422,5.843,6.219,5.815,3.167
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,"Current_taxes_on_income,_wealth_etc",1.457,1.541,1.632,1.722,1.756,1.955,2.127,2.168,2.222,2.164,2.130,2.273,2.150,2.376,2.349,2.533,2.811,2.820,2.635,2.773
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Social_contributions/Social_benefits_paid,1.550,1.463,1.720,1.893,1.849,2.009,1.972,1.784,1.925,1.963,1.805,2.052,1.041,2.061,1.598,1.763,1.642,1.503,1.244,1.305
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,"Other_current_transfers,_paid",0.607,0.673,0.779,0.858,0.662,0.841,0.854,0.909,0.945,1.001,1.067,1.112,1.214,1.245,1.367,1.352,1.251,1.198,1.226,1.139
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Secondary_uses_total,3.614,3.677,4.131,4.473,4.266,4.806,4.953,4.861,5.091,5.128,5.002,5.438,4.405,5.682,5.314,5.648,5.704,5.521,5.105,5.218
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Balance_of_secondary_income,-1.081,-0.992,-1.135,-1.297,-1.275,-1.481,-1.516,-1.033,-1.094,-0.367,-0.059,-0.335,1.258,0.210,0.969,-0.226,0.140,0.699,0.710,-2.051
E01013815,Nottingham 022C,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,8.021,8.318,8.667,9.039,9.124,9.687,9.752,10.662,10.856,11.423,12.307,13.218,15.260,15.452,16.262,16.603,17.968,19.718,19.117,16.432
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Operating_surplus,1.404,1.489,1.452,1.898,2.030,1.910,2.319,2.181,1.893,1.878,2.052,3.063,3.431,3.593,3.930,4.030,4.389,4.465,4.734,4.991
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Mixed_income,0.432,0.455,0.514,0.617,0.661,0.716,0.851,0.958,1.070,1.140,1.314,1.754,2.378,2.784,2.280,2.554,2.871,2.988,3.037,3.190
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Compensation_of_employees,4.479,4.785,6.013,6.715,6.960,7.759,8.127,8.470,9.134,9.546,10.154,12.136,13.986,14.773,16.192,17.121,16.572,18.652,20.287,18.841
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,"Property_income,_received",1.112,1.027,1.365,1.611,1.568,1.929,1.927,1.658,1.807,1.917,1.882,2.190,2.614,3.281,2.914,2.751,2.448,2.754,2.765,2.768
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Primary_resources_total,7.426,7.755,9.344,10.842,11.220,12.313,13.223,13.267,13.904,14.482,15.401,19.144,22.409,24.431,25.315,26.456,26.280,28.860,30.823,29.790
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,"Property_income,_paid",0.634,0.691,1.004,1.296,1.480,1.517,1.922,0.852,0.562,0.590,0.659,0.699,0.821,0.865,0.951,0.844,1.458,1.253,0.844,1.119
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Primary_uses_total,0.634,0.691,1.004,1.296,1.480,1.517,1.922,0.852,0.562,0.590,0.659,0.699,0.821,0.865,0.951,0.844,1.458,1.253,0.844,1.119
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Balance_of_primary_incomes,6.792,7.064,8.340,9.546,9.740,10.795,11.302,12.415,13.342,13.892,14.743,18.445,21.588,23.566,24.363,25.612,24.821,27.607,29.979,28.671
E01013816,Nottingham 022D,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,2.059,2.241,2.746,2.960,2.964,3.235,3.592,4.257,4.806,4.138,4.476,5.034,4.670,5.111,4.821,4.150,4.251,3.940,4.219,3.386
