LSOA_code,LSOA_name,Households
E01013874,Nottingham 039A,772
E01033400,Nottingham 039B,977
E01033402,Nottingham 039C,658
E01033407,Nottingham 039F,646
E01035506,Nottingham 039G,1127
E01013870,Nottingham 040A,1086
E01013871,Nottingham 040B,831
E01013872,Nottingham 040C,775
E01013873,Nottingham 040D,629
E01013978,Nottingham 041A,674
E01013981,Nottingham 041B,694
E01013979,Nottingham 041C,606
E01013977,Nottingham 041D,747
E01035507,Nottingham 041E,1008
E01035508,Nottingham 041F,991
